id	category	default_install	targets
agent-flow-builder	core	true	claude,codex,opencode,cursor
fix-bug	core	true	claude,codex,opencode,cursor
code-audit	core	true	claude,codex,opencode,cursor
code-audit-hardcore	core	true	claude,codex,opencode,cursor
implement-plan	core	true	claude,codex,opencode,cursor
implement-plan-audited	core	true	claude,codex,opencode,cursor
learn-system	core	true	claude,codex,opencode,cursor
plan-large	core	true	claude,codex,opencode,cursor
plan-small	core	true	claude,codex,opencode,cursor
refactor	core	true	claude,codex,opencode,cursor
remove-code	core	true	claude,codex,opencode,cursor
review-large-pr	core	true	claude,codex,opencode,cursor
review-plan	core	true	claude,codex,opencode,cursor
coding-process	internal	false	claude,codex,opencode,cursor
cap	optional	false	claude,codex,opencode,cursor
design-master	optional	false	claude,codex,opencode,cursor
init-phoenix	optional	false	claude,codex,opencode,cursor
